month,credit_amount,investment_as_income_percentage,residence_since,age,number_of_credits,people_liable_for,sex,status,housing,skill_level,telephone,foreign_worker,installment_plans,other_debtors,credit_history,purpose,savings,employment,property
14,1029,4,4,1,1,1,0,A14,A151,A172,A191,A201,A143,A101,A32,A42,A63,A73,A123
43,3607,4,4,1,2,1,1,A11,A153,A173,A192,A201,A143,A101,A34,A41,A61,A75,A124
28,1248,4,2,1,1,1,0,A13,A153,A173,A192,A201,A143,A101,A32,A43,A62,A75,A124
25,1627,4,2,1,2,1,1,A12,A152,A173,A191,A201,A142,A101,A33,A49,A62,A75,A122
32,2240,4,1,1,1,2,0,A12,A152,A173,A192,A201,A143,A101,A32,A49,A61,A72,A122
17,4651,1,4,1,1,1,0,A14,A153,A173,A191,A201,A143,A101,A32,A40,A63,A75,A124
43,3751,3,2,0,1,1,1,A12,A152,A173,A191,A201,A143,A101,A32,A40,A62,A74,A122
14,2620,4,3,0,2,1,0,A12,A151,A173,A191,A201,A143,A101,A30,A42,A61,A72,A122
10,1100,4,4,0,1,1,0,A12,A152,A173,A191,A201,A143,A101,A32,A43,A61,A75,A121
9,1296,2,2,1,1,2,1,A12,A152,A172,A191,A201,A143,A101,A32,A43,A61,A73,A121
15,434,4,3,1,2,1,1,A14,A152,A174,A192,A201,A141,A101,A34,A43,A63,A75,A122
6,1093,4,4,1,1,1,0,A11,A153,A173,A191,A201,A143,A101,A31,A46,A61,A75,A124
17,1608,4,4,1,1,1,1,A14,A152,A174,A192,A201,A143,A101,A32,A41,A65,A75,A121
9,742,4,4,0,2,1,1,A11,A152,A172,A191,A201,A143,A101,A34,A43,A61,A73,A121
57,9522,4,2,1,1,1,1,A12,A152,A174,A192,A201,A143,A101,A32,A40,A61,A74,A124
25,5036,1,4,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A41,A65,A75,A123
25,2067,3,2,1,2,2,1,A14,A152,A173,A192,A201,A143,A101,A34,A43,A65,A75,A123
15,1100,4,2,1,1,1,1,A14,A153,A174,A192,A201,A143,A101,A32,A43,A61,A73,A124
21,2120,3,2,1,2,1,1,A13,A152,A173,A192,A201,A143,A101,A34,A43,A65,A73,A123
15,3480,3,4,1,2,1,1,A12,A152,A173,A192,A201,A141,A101,A30,A41,A62,A75,A123
9,831,4,2,1,2,1,1,A13,A152,A174,A192,A201,A143,A101,A30,A43,A61,A72,A123
6,434,4,2,0,1,2,0,A12,A151,A173,A191,A201,A141,A101,A31,A46,A64,A72,A122
14,1119,4,2,0,1,1,0,A11,A152,A172,A191,A201,A143,A101,A32,A40,A61,A73,A121
10,742,4,3,1,1,1,0,A12,A152,A172,A191,A201,A143,A101,A32,A43,A63,A73,A121
32,2276,3,3,0,1,1,0,A14,A151,A173,A191,A201,A143,A101,A32,A40,A61,A73,A121
6,276,2,2,1,2,1,0,A14,A152,A172,A191,A201,A141,A101,A34,A40,A64,A73,A121
13,831,2,2,1,2,1,1,A14,A152,A172,A191,A201,A143,A101,A34,A43,A63,A73,A122
21,1683,4,4,0,2,1,0,A11,A151,A173,A191,A201,A141,A101,A32,A43,A61,A73,A123
57,5592,4,3,1,1,1,0,A12,A151,A173,A191,A201,A143,A101,A31,A49,A61,A75,A124
21,824,2,4,1,2,1,1,A13,A152,A173,A192,A201,A143,A101,A34,A49,A64,A73,A121
21,3744,1,2,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A33,A43,A61,A72,A123
21,1248,2,4,0,1,2,1,A11,A151,A172,A191,A201,A143,A101,A32,A43,A61,A73,A121
9,716,4,2,1,1,1,0,A12,A152,A172,A191,A201,A143,A103,A32,A43,A61,A74,A121
28,2305,2,4,1,1,1,0,A14,A151,A173,A192,A201,A143,A101,A32,A41,A64,A73,A123
4,2975,1,1,1,1,2,0,A14,A152,A173,A191,A201,A143,A101,A34,A40,A61,A74,A121
43,3500,3,2,1,1,1,0,A12,A152,A171,A191,A201,A141,A101,A31,A44,A65,A72,A124
28,10027,1,4,0,2,1,0,A12,A151,A174,A191,A201,A143,A101,A32,A41,A61,A73,A123
15,3086,3,4,1,1,2,1,A11,A152,A172,A192,A201,A143,A101,A32,A40,A62,A73,A123
6,4144,1,3,1,2,2,1,A14,A152,A174,A192,A201,A143,A101,A34,A40,A61,A74,A124
36,3751,4,4,1,2,1,0,A12,A151,A172,A191,A201,A143,A101,A30,A49,A62,A73,A123
21,1500,2,3,1,1,1,1,A11,A152,A173,A191,A201,A141,A101,A31,A40,A62,A74,A123
10,716,4,4,0,1,1,1,A12,A152,A172,A191,A201,A142,A101,A31,A43,A61,A73,A121
17,2120,4,3,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A32,A43,A65,A75,A122
21,1627,4,4,0,1,1,1,A11,A152,A173,A192,A201,A142,A101,A31,A42,A63,A73,A121
32,10027,4,4,1,2,1,1,A11,A152,A174,A192,A201,A143,A101,A34,A42,A65,A74,A122
13,1168,3,1,1,2,1,1,A11,A152,A172,A191,A201,A141,A101,A34,A49,A61,A72,A122
17,2225,1,4,0,1,1,0,A11,A151,A173,A191,A201,A143,A101,A32,A40,A61,A71,A123
14,1159,3,1,1,1,1,0,A11,A152,A172,A191,A201,A143,A101,A32,A40,A61,A72,A121
17,3399,1,3,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A41,A65,A73,A123
13,1975,2,2,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A41,A61,A74,A123
6,429,2,1,1,1,1,0,A11,A152,A173,A192,A201,A141,A101,A32,A42,A61,A75,A122
21,902,1,2,0,1,1,0,A11,A152,A172,A191,A201,A143,A101,A32,A40,A61,A72,A123
14,786,2,4,0,1,1,0,A12,A151,A172,A191,A201,A143,A101,A32,A49,A62,A74,A121
36,5036,4,2,0,2,1,0,A14,A152,A173,A191,A201,A143,A101,A34,A43,A61,A74,A123
11,1119,4,4,1,2,2,1,A14,A153,A173,A191,A201,A143,A101,A33,A45,A64,A75,A124
28,1168,4,4,1,1,1,0,A11,A151,A173,A191,A201,A143,A101,A32,A40,A65,A74,A124
6,824,1,1,1,2,2,1,A13,A152,A171,A191,A202,A143,A101,A34,A40,A61,A73,A121
13,814,3,4,1,2,1,1,A13,A153,A173,A192,A201,A143,A101,A34,A43,A65,A73,A124
21,1029,2,2,1,1,1,1,A14,A152,A173,A192,A201,A143,A103,A32,A40,A61,A73,A121
11,434,4,3,1,2,1,1,A11,A152,A173,A191,A201,A143,A101,A34,A40,A61,A75,A122
17,4410,1,4,1,1,1,0,A14,A152,A173,A192,A201,A143,A101,A34,A40,A65,A75,A123
21,1892,4,4,0,2,1,0,A11,A151,A173,A191,A201,A143,A101,A34,A42,A61,A73,A121
11,1433,4,3,0,1,1,1,A11,A152,A172,A191,A201,A143,A101,A32,A43,A61,A73,A122
17,9522,4,4,1,1,1,1,A14,A153,A174,A192,A201,A143,A101,A34,A40,A65,A75,A124
21,1608,4,3,1,2,1,1,A14,A152,A173,A192,A201,A143,A101,A34,A40,A62,A74,A122
11,746,3,3,1,2,1,1,A12,A152,A172,A191,A201,A141,A103,A32,A43,A61,A75,A121
25,2067,2,4,1,1,1,1,A11,A152,A172,A191,A201,A143,A101,A32,A42,A61,A72,A122
11,2562,1,4,1,1,1,0,A14,A151,A173,A191,A201,A143,A101,A32,A41,A65,A72,A121
11,2501,1,4,1,2,1,1,A12,A151,A173,A192,A201,A143,A101,A34,A42,A61,A75,A123
11,1145,2,4,1,2,1,1,A14,A152,A172,A192,A201,A143,A101,A34,A43,A61,A75,A121
28,2485,2,4,1,1,1,0,A11,A151,A173,A191,A201,A143,A101,A32,A41,A65,A75,A121
43,7014,3,2,0,2,1,0,A11,A152,A174,A192,A201,A143,A101,A34,A46,A61,A73,A124
17,2163,1,4,1,1,1,1,A14,A152,A174,A192,A201,A143,A101,A34,A41,A61,A75,A123
21,1433,4,4,1,2,1,1,A14,A152,A173,A191,A201,A141,A101,A34,A43,A62,A75,A122
11,1093,2,4,1,2,1,1,A13,A153,A171,A191,A201,A141,A101,A34,A40,A63,A71,A124
28,1242,4,4,0,1,1,0,A11,A151,A173,A191,A201,A143,A101,A32,A40,A65,A73,A121
28,2305,4,4,1,2,1,1,A14,A152,A173,A192,A201,A143,A101,A34,A40,A61,A74,A123
21,3086,4,1,0,1,1,0,A11,A152,A173,A191,A201,A143,A103,A32,A43,A61,A74,A121
28,3399,4,2,1,2,1,1,A14,A152,A174,A192,A201,A143,A101,A34,A41,A64,A75,A123
21,3399,2,4,1,1,1,0,A12,A152,A173,A192,A201,A143,A101,A32,A45,A61,A71,A123
32,3159,2,2,0,2,1,1,A12,A152,A173,A191,A201,A143,A103,A34,A43,A61,A74,A121
21,1242,4,4,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A34,A40,A64,A75,A121
11,1085,2,2,1,1,1,1,A12,A152,A172,A192,A201,A143,A101,A30,A48,A61,A73,A121
14,781,4,2,0,1,1,0,A12,A152,A172,A191,A201,A141,A101,A32,A40,A62,A72,A122
15,3744,1,4,1,1,1,1,A12,A152,A174,A192,A201,A143,A101,A32,A41,A65,A71,A121
15,1242,4,2,1,1,1,1,A12,A152,A172,A192,A201,A143,A101,A32,A49,A64,A73,A122
21,1693,3,4,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A43,A63,A75,A123
43,1693,4,3,1,2,2,1,A14,A152,A173,A192,A201,A143,A101,A34,A41,A65,A75,A123
43,3480,4,4,1,1,1,1,A12,A153,A173,A191,A201,A143,A101,A33,A46,A61,A75,A124
32,3480,4,3,1,1,1,1,A11,A152,A173,A192,A201,A141,A101,A34,A46,A61,A73,A124
25,1085,2,4,1,1,2,0,A12,A152,A173,A191,A201,A143,A101,A32,A49,A61,A75,A122
21,3607,3,4,1,1,2,1,A14,A152,A174,A192,A201,A143,A101,A32,A41,A65,A75,A123
6,781,1,2,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A42,A65,A73,A122
21,1892,3,4,1,1,1,1,A13,A153,A173,A191,A201,A143,A101,A32,A42,A61,A75,A124
21,2044,4,3,1,1,1,1,A14,A151,A173,A192,A201,A143,A101,A32,A42,A63,A75,A124
10,2044,2,4,0,1,1,0,A14,A151,A173,A191,A201,A143,A101,A32,A42,A62,A72,A122
15,4651,1,4,1,1,2,1,A11,A153,A173,A192,A201,A143,A101,A32,A41,A65,A75,A122
14,1145,2,4,0,2,1,0,A14,A151,A172,A191,A201,A143,A101,A34,A42,A61,A72,A122
21,579,4,4,1,2,1,1,A14,A152,A173,A192,A201,A143,A101,A33,A40,A65,A75,A123
9,1119,4,2,1,1,1,1,A12,A152,A171,A191,A201,A143,A101,A32,A40,A65,A72,A121
21,1122,4,4,1,2,2,1,A14,A153,A173,A191,A201,A143,A101,A34,A46,A61,A75,A124
21,1608,3,4,1,2,1,0,A12,A151,A172,A192,A201,A141,A103,A34,A43,A61,A75,A121
23,3744,1,4,0,2,1,0,A11,A152,A173,A191,A201,A143,A101,A34,A42,A61,A75,A122
11,710,4,4,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A43,A65,A75,A123
14,6503,1,2,0,1,1,0,A12,A151,A171,A191,A201,A143,A101,A32,A40,A65,A71,A121
28,6503,2,1,0,1,1,1,A11,A152,A173,A192,A201,A143,A101,A32,A40,A61,A74,A123
6,429,3,3,1,1,1,1,A12,A152,A172,A191,A202,A143,A101,A32,A43,A61,A72,A121
11,710,4,4,1,3,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A43,A65,A75,A121
36,6680,1,2,1,1,1,1,A12,A153,A174,A192,A201,A141,A101,A31,A41,A61,A71,A124
17,1593,2,1,1,2,1,0,A12,A151,A171,A191,A201,A143,A101,A30,A40,A61,A72,A121
6,703,3,2,1,1,1,1,A12,A152,A173,A192,A201,A143,A101,A32,A49,A61,A72,A121
6,276,3,3,1,1,1,1,A12,A152,A172,A191,A201,A141,A103,A32,A43,A61,A74,A121
28,6680,4,4,0,2,1,1,A11,A152,A173,A192,A201,A143,A101,A34,A41,A61,A74,A123
43,2044,3,4,1,1,1,1,A11,A152,A173,A191,A201,A143,A101,A32,A44,A61,A73,A123
43,2620,4,4,1,1,2,1,A11,A153,A173,A191,A201,A143,A101,A32,A40,A61,A74,A124
43,6468,2,2,1,1,1,0,A12,A151,A173,A191,A201,A143,A101,A33,A40,A61,A73,A122
6,902,1,4,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A44,A63,A73,A121
6,1400,1,2,0,2,1,0,A14,A151,A173,A192,A201,A143,A101,A34,A43,A61,A74,A123
28,13572,2,3,1,1,1,1,A11,A152,A174,A191,A201,A143,A102,A32,A410,A61,A71,A123
15,965,4,3,1,1,1,1,A11,A152,A173,A191,A201,A141,A101,A32,A43,A61,A73,A121
11,742,3,2,1,2,1,1,A14,A152,A173,A192,A201,A143,A101,A32,A40,A61,A73,A121
11,1975,3,1,0,1,1,1,A13,A152,A173,A191,A201,A143,A101,A32,A43,A61,A73,A123
28,1693,2,2,1,1,2,1,A11,A152,A173,A191,A201,A141,A101,A32,A42,A61,A75,A122
6,623,4,4,1,2,1,1,A11,A152,A172,A191,A201,A143,A101,A34,A40,A61,A75,A121
15,2581,3,2,1,2,1,1,A14,A152,A174,A192,A201,A143,A101,A34,A42,A61,A72,A123
17,1145,4,3,1,2,1,1,A11,A152,A173,A192,A201,A143,A101,A34,A40,A61,A75,A123
21,3480,1,4,1,3,1,0,A11,A151,A173,A192,A201,A141,A101,A34,A40,A61,A75,A121
15,3086,2,2,1,2,2,1,A14,A152,A173,A191,A201,A142,A101,A30,A49,A61,A73,A123
28,5592,3,4,1,1,1,1,A11,A153,A173,A191,A201,A143,A101,A32,A41,A65,A75,A124
43,3901,4,4,1,1,2,1,A12,A153,A173,A192,A201,A143,A101,A33,A49,A65,A73,A124
21,1557,4,2,1,2,2,1,A14,A152,A173,A192,A201,A143,A101,A33,A49,A63,A73,A123
21,1109,4,3,0,1,1,0,A11,A151,A173,A192,A201,A143,A101,A32,A40,A61,A72,A123
43,7266,2,4,1,2,1,1,A11,A151,A173,A191,A201,A143,A101,A30,A49,A61,A75,A123
28,4444,2,4,1,1,1,0,A12,A152,A173,A192,A201,A143,A101,A32,A43,A65,A75,A123
17,2067,2,3,0,1,1,0,A13,A152,A172,A191,A201,A143,A101,A32,A43,A61,A72,A121
11,716,4,4,1,2,1,1,A11,A152,A173,A191,A201,A141,A101,A30,A40,A61,A73,A123
14,824,4,2,0,1,1,0,A14,A152,A173,A191,A201,A143,A101,A32,A43,A65,A73,A123
4,579,1,3,0,1,2,0,A14,A151,A172,A191,A201,A143,A101,A32,A42,A61,A72,A121
21,1945,4,4,1,2,1,1,A11,A152,A173,A192,A201,A143,A101,A34,A41,A61,A75,A122
21,1683,4,3,1,2,1,1,A14,A152,A173,A191,A201,A143,A102,A34,A43,A61,A75,A121
28,3159,4,2,1,1,1,1,A11,A152,A173,A191,A201,A143,A101,A32,A42,A61,A74,A122
17,1945,3,2,1,2,1,1,A14,A152,A172,A191,A201,A142,A101,A33,A41,A61,A73,A121
21,1736,4,4,0,1,1,0,A14,A152,A173,A191,A201,A143,A101,A32,A45,A61,A72,A121
21,1119,4,4,1,1,1,1,A14,A152,A173,A192,A201,A141,A101,A31,A49,A61,A74,A123
15,2276,4,4,1,2,2,1,A14,A152,A173,A192,A201,A141,A101,A32,A42,A61,A75,A122
17,2639,2,3,1,1,1,1,A12,A152,A173,A192,A201,A143,A101,A32,A42,A65,A74,A123
15,4144,2,4,1,2,1,1,A14,A151,A173,A191,A201,A143,A101,A32,A40,A65,A73,A123
21,786,4,2,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A40,A61,A72,A121
9,1007,3,4,1,1,1,1,A11,A152,A173,A191,A201,A143,A101,A32,A43,A61,A74,A121
11,579,4,4,1,1,1,1,A11,A152,A172,A191,A201,A142,A101,A32,A43,A61,A75,A121
15,1500,4,2,1,2,1,1,A11,A151,A173,A191,A202,A141,A103,A34,A40,A61,A73,A122
21,2815,3,4,1,2,1,1,A14,A152,A173,A192,A201,A143,A101,A34,A41,A65,A74,A122
13,1089,4,4,1,2,1,1,A14,A153,A173,A192,A201,A143,A101,A34,A43,A61,A73,A124
15,1085,4,4,1,2,2,1,A11,A153,A172,A191,A201,A143,A101,A31,A40,A61,A74,A124
28,7266,2,2,1,2,2,1,A14,A152,A173,A192,A201,A143,A101,A33,A40,A61,A75,A123
21,1093,4,3,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A32,A40,A62,A72,A121
11,831,4,3,1,1,1,0,A14,A152,A173,A192,A201,A143,A101,A32,A48,A65,A74,A122
13,2225,4,2,1,1,1,1,A14,A153,A173,A192,A201,A143,A101,A34,A42,A61,A73,A124
17,3474,3,2,1,1,1,0,A11,A152,A173,A192,A201,A143,A101,A32,A40,A61,A73,A122
9,2307,1,2,1,1,2,1,A14,A151,A173,A191,A202,A143,A103,A32,A40,A62,A73,A121
21,3474,4,2,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A41,A64,A73,A121
15,1352,4,2,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A33,A49,A61,A73,A123
28,2163,4,4,1,1,1,0,A11,A152,A173,A192,A201,A143,A101,A32,A43,A61,A72,A121
23,3086,4,2,1,2,2,1,A14,A152,A172,A192,A201,A142,A101,A34,A42,A64,A72,A121
10,1400,2,2,0,1,1,1,A14,A151,A172,A191,A201,A141,A101,A32,A42,A61,A73,A121
17,1975,2,4,0,1,1,0,A14,A151,A173,A191,A201,A143,A101,A32,A42,A63,A73,A123
21,2120,4,1,1,1,1,0,A11,A152,A173,A191,A201,A142,A101,A32,A43,A61,A72,A123
11,2225,2,4,1,1,1,1,A14,A152,A173,A191,A201,A142,A101,A34,A42,A61,A75,A122
28,4651,3,2,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A49,A65,A75,A122
14,623,4,4,0,1,1,0,A11,A151,A173,A191,A201,A143,A101,A32,A42,A61,A75,A122
43,6680,2,4,1,2,1,0,A14,A152,A173,A192,A201,A143,A101,A33,A42,A63,A74,A123
6,902,1,4,1,2,2,1,A13,A152,A173,A191,A202,A143,A101,A34,A40,A61,A75,A121
21,1007,4,1,1,2,1,1,A11,A152,A173,A192,A201,A143,A101,A34,A49,A62,A74,A121
17,814,4,1,0,1,1,0,A14,A152,A173,A191,A201,A143,A101,A32,A44,A65,A72,A121
11,2485,2,2,1,1,2,1,A11,A152,A172,A191,A201,A143,A102,A32,A42,A61,A73,A122
13,1200,4,4,1,2,1,0,A12,A152,A173,A191,A201,A143,A101,A34,A40,A64,A73,A123
15,1242,3,4,1,1,1,1,A11,A153,A174,A192,A201,A141,A102,A31,A43,A61,A72,A124
28,2485,4,2,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A43,A61,A75,A123
9,1085,3,2,1,1,1,1,A11,A153,A174,A192,A201,A143,A101,A32,A40,A61,A72,A124
25,4144,2,3,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A43,A65,A74,A122
21,5036,3,3,1,1,1,1,A14,A152,A174,A192,A201,A143,A101,A32,A41,A61,A74,A123
21,6503,2,4,1,1,1,1,A14,A153,A173,A192,A201,A143,A101,A32,A41,A65,A73,A124
25,1400,4,4,1,2,1,1,A12,A152,A173,A191,A201,A143,A101,A34,A40,A65,A75,A121
21,1007,4,4,1,2,1,0,A14,A152,A171,A191,A201,A143,A101,A34,A43,A61,A71,A123
21,2975,3,3,1,1,1,1,A12,A152,A173,A192,A201,A143,A101,A32,A42,A61,A74,A123
14,746,4,4,1,1,1,0,A11,A152,A173,A191,A201,A143,A101,A32,A46,A61,A72,A122
21,1736,4,3,1,2,2,1,A12,A152,A173,A192,A201,A143,A101,A34,A49,A65,A74,A124
43,13572,2,2,0,1,1,1,A12,A152,A173,A192,A201,A143,A101,A32,A49,A61,A73,A123
28,3901,4,4,1,2,1,1,A14,A152,A174,A192,A201,A143,A101,A34,A40,A61,A75,A123
25,5592,3,4,1,2,2,1,A14,A151,A173,A192,A201,A141,A103,A31,A41,A65,A72,A121
23,1593,4,4,1,3,2,1,A11,A152,A174,A192,A201,A142,A101,A34,A49,A61,A75,A123
13,1200,4,4,1,2,1,1,A14,A152,A173,A192,A201,A143,A101,A34,A43,A61,A75,A123
11,1352,4,4,1,2,1,1,A11,A152,A172,A191,A202,A141,A101,A34,A40,A61,A73,A122
28,3474,3,4,1,2,1,1,A12,A152,A173,A192,A201,A143,A101,A34,A41,A61,A73,A123
15,781,4,3,1,2,1,1,A14,A152,A173,A192,A201,A143,A101,A34,A43,A65,A73,A122
28,6468,3,2,1,1,2,1,A14,A152,A174,A192,A201,A142,A101,A33,A41,A65,A74,A123
25,2307,4,4,1,1,1,0,A11,A151,A174,A192,A201,A143,A101,A32,A43,A61,A72,A122
14,1433,3,2,1,1,1,0,A14,A152,A173,A191,A202,A143,A101,A34,A42,A64,A74,A122
17,1945,1,4,1,1,1,0,A14,A151,A172,A191,A201,A141,A101,A32,A42,A65,A74,A121
15,2975,2,3,1,1,1,1,A11,A152,A173,A191,A201,A143,A102,A32,A42,A61,A73,A123
14,1683,2,4,1,1,1,1,A11,A151,A173,A192,A201,A141,A103,A34,A40,A61,A75,A122
15,2276,2,4,1,2,1,1,A14,A152,A173,A192,A201,A143,A101,A34,A40,A65,A72,A121
28,7014,2,4,1,2,1,1,A14,A153,A173,A191,A201,A143,A101,A34,A41,A65,A75,A124
13,1029,4,2,1,1,1,1,A14,A151,A173,A192,A201,A143,A101,A32,A43,A65,A73,A121
21,824,4,1,1,1,1,1,A14,A152,A174,A192,A201,A143,A101,A32,A43,A61,A75,A121
11,742,2,2,0,1,2,1,A11,A151,A174,A192,A201,A143,A101,A32,A43,A61,A73,A121
17,2562,2,2,0,1,1,1,A11,A152,A172,A191,A202,A143,A102,A32,A40,A65,A74,A121
28,2562,2,2,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A32,A46,A65,A73,A123
17,3159,1,2,1,2,1,0,A14,A152,A172,A191,A201,A143,A101,A33,A41,A61,A72,A122
10,2815,1,2,1,1,1,0,A12,A152,A172,A191,A201,A143,A101,A32,A40,A65,A73,A121
43,3901,4,4,1,2,1,0,A14,A152,A173,A191,A201,A143,A101,A33,A43,A61,A73,A121
28,4144,2,4,0,1,1,0,A12,A152,A172,A191,A201,A141,A101,A34,A42,A61,A72,A123
36,2639,2,4,0,1,1,0,A12,A152,A173,A191,A201,A143,A101,A32,A43,A65,A75,A123
10,1296,1,2,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A32,A49,A64,A75,A121
21,2163,4,2,1,1,1,1,A11,A151,A173,A192,A201,A143,A101,A31,A49,A61,A73,A122
57,13572,1,2,1,1,1,0,A12,A152,A174,A192,A202,A141,A101,A30,A410,A61,A73,A122
10,1736,1,2,1,1,2,1,A14,A152,A173,A191,A201,A143,A102,A32,A41,A62,A73,A121
6,10027,1,4,1,1,1,1,A11,A152,A174,A192,A201,A141,A101,A32,A40,A61,A75,A124
21,1539,1,1,1,1,1,1,A11,A152,A173,A191,A201,A143,A101,A32,A42,A62,A71,A122
21,2240,4,2,1,1,1,1,A11,A151,A174,A192,A201,A143,A101,A32,A42,A61,A75,A122
21,1627,4,2,1,2,1,0,A14,A152,A173,A191,A201,A143,A101,A34,A42,A61,A73,A124
43,9522,4,1,1,1,1,1,A14,A152,A174,A192,A201,A143,A101,A33,A43,A63,A74,A123
10,1238,3,4,0,1,1,0,A11,A151,A173,A191,A201,A143,A101,A32,A43,A61,A72,A122
11,1248,3,4,1,1,2,1,A12,A151,A173,A192,A201,A143,A101,A32,A40,A61,A74,A122
21,4410,2,1,1,1,1,1,A11,A152,A173,A192,A201,A141,A101,A31,A42,A61,A72,A122
11,434,4,2,1,2,1,1,A11,A152,A173,A192,A201,A141,A101,A31,A40,A61,A72,A123
21,965,4,4,0,1,1,0,A11,A151,A173,A191,A201,A143,A101,A34,A42,A61,A72,A122
43,7014,4,4,1,2,2,1,A11,A153,A173,A192,A201,A142,A101,A32,A41,A61,A74,A124
25,1238,4,4,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A32,A43,A65,A75,A123
11,965,4,2,1,2,2,1,A11,A152,A172,A191,A201,A143,A101,A33,A40,A61,A73,A121
21,1168,4,1,0,1,1,1,A11,A152,A172,A191,A202,A143,A102,A32,A42,A61,A72,A122
10,1500,4,2,0,1,1,0,A12,A152,A173,A192,A201,A143,A101,A32,A43,A61,A72,A123
9,786,3,1,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A40,A61,A73,A121
11,429,4,4,1,2,2,1,A14,A152,A173,A192,A201,A143,A101,A34,A43,A63,A75,A122
14,1352,4,1,0,1,1,0,A11,A152,A173,A191,A201,A141,A101,A32,A43,A61,A73,A123
25,1238,4,3,1,2,1,1,A12,A152,A174,A191,A201,A142,A101,A33,A43,A62,A72,A124
10,703,3,2,1,1,1,0,A13,A152,A172,A191,A201,A143,A101,A32,A43,A61,A73,A121
6,1275,4,3,1,1,1,1,A12,A151,A174,A192,A201,A143,A101,A32,A43,A61,A72,A123
57,3500,4,4,1,1,1,1,A12,A153,A173,A191,A201,A143,A101,A32,A46,A61,A73,A124
21,4144,2,4,1,2,2,1,A14,A152,A174,A192,A201,A143,A101,A34,A41,A65,A73,A122
11,2276,2,3,1,1,2,1,A14,A152,A174,A192,A201,A143,A101,A32,A40,A65,A72,A122
10,1109,3,2,1,1,2,1,A14,A152,A172,A191,A202,A143,A101,A32,A40,A61,A73,A121
21,703,4,2,1,1,1,1,A14,A152,A173,A192,A201,A142,A101,A32,A42,A65,A74,A123
4,1089,2,1,1,2,2,1,A14,A152,A172,A191,A201,A143,A101,A34,A40,A61,A74,A121
17,1651,4,1,1,1,1,0,A11,A151,A173,A191,A201,A143,A103,A32,A42,A61,A72,A122
57,7266,1,1,1,2,1,0,A12,A152,A173,A191,A201,A143,A101,A30,A40,A63,A72,A123
21,2240,4,4,1,1,2,1,A11,A153,A173,A192,A201,A143,A101,A31,A42,A63,A72,A124
