month,credit_amount,investment_as_income_percentage,residence_since,age,number_of_credits,people_liable_for,sex,status,housing,skill_level,telephone,foreign_worker,installment_plans,other_debtors,credit_history,purpose,savings,employment,property
11,1892,4,4,1,1,1,1,A14,A152,A174,A192,A201,A143,A101,A32,A40,A65,A71,A124
15,1109,4,1,1,1,2,1,A14,A152,A172,A191,A201,A143,A102,A32,A42,A61,A72,A122
21,2501,2,4,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A43,A62,A75,A123
15,2485,3,3,1,2,2,1,A12,A152,A171,A192,A201,A143,A101,A34,A49,A61,A71,A123
28,1352,2,1,0,2,1,1,A11,A152,A173,A192,A201,A143,A101,A33,A49,A61,A74,A123
28,3607,3,4,1,1,1,0,A12,A151,A173,A191,A201,A143,A101,A32,A41,A63,A72,A123
43,9522,4,2,1,2,1,0,A14,A152,A174,A192,A201,A143,A101,A32,A42,A61,A71,A123
14,1693,4,4,1,1,1,0,A11,A152,A173,A192,A201,A143,A103,A32,A40,A61,A73,A122
28,1122,4,4,1,2,1,0,A11,A151,A174,A192,A201,A143,A101,A34,A43,A64,A75,A122
25,2562,4,4,1,2,1,1,A13,A152,A172,A191,A201,A142,A101,A34,A43,A65,A75,A122
9,746,2,4,1,2,1,1,A12,A152,A172,A191,A201,A143,A101,A34,A43,A61,A75,A121
25,2815,3,2,1,1,1,1,A11,A152,A172,A191,A201,A143,A101,A32,A40,A61,A73,A123
21,2044,4,4,1,1,1,1,A12,A153,A173,A191,A201,A143,A101,A32,A42,A62,A75,A124
6,1159,2,2,1,2,1,1,A14,A151,A173,A191,A201,A143,A101,A34,A43,A61,A75,A121
17,1539,1,4,1,2,1,1,A12,A152,A173,A191,A201,A143,A101,A33,A40,A61,A73,A122
13,2305,3,2,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A40,A65,A73,A124
21,1593,3,2,1,2,1,1,A14,A152,A173,A192,A201,A141,A101,A32,A43,A63,A75,A123
6,276,3,1,0,1,1,1,A12,A152,A172,A191,A201,A143,A101,A32,A45,A61,A72,A122
36,1539,4,1,1,1,1,0,A12,A152,A173,A191,A201,A143,A101,A32,A43,A65,A73,A123
23,1651,4,2,0,2,1,1,A12,A152,A172,A191,A201,A143,A101,A34,A43,A63,A73,A122
17,3137,4,2,1,1,1,0,A14,A151,A174,A192,A201,A141,A101,A32,A43,A61,A75,A123
36,4410,2,4,1,1,1,1,A14,A151,A173,A192,A201,A143,A101,A32,A43,A65,A74,A122
10,2620,1,2,1,2,2,1,A11,A152,A172,A191,A201,A143,A101,A34,A40,A61,A73,A121
13,1100,4,2,0,1,1,1,A12,A152,A173,A191,A201,A143,A103,A32,A45,A62,A73,A121
21,4444,1,4,1,1,2,1,A14,A152,A172,A191,A201,A143,A101,A32,A40,A61,A73,A122
28,1089,1,4,1,2,1,0,A11,A151,A171,A191,A201,A143,A102,A31,A40,A61,A71,A124
57,4444,4,4,1,1,1,1,A11,A151,A173,A191,A201,A143,A102,A32,A49,A61,A75,A124
36,2501,4,2,1,1,1,0,A14,A152,A173,A192,A201,A143,A101,A34,A43,A61,A73,A123
28,1145,3,3,1,1,1,0,A13,A152,A172,A191,A201,A143,A101,A32,A43,A63,A73,A123
6,710,2,3,1,1,1,0,A12,A152,A173,A191,A201,A143,A103,A32,A43,A61,A73,A121
15,1593,4,2,1,2,1,1,A12,A152,A173,A191,A201,A143,A101,A33,A49,A65,A75,A122
21,1651,4,4,1,2,2,1,A14,A152,A172,A191,A201,A143,A101,A33,A40,A61,A75,A123
13,814,2,2,0,1,1,1,A12,A151,A173,A191,A201,A143,A101,A31,A40,A62,A73,A122
25,6468,2,2,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A34,A42,A61,A74,A122
43,3137,3,2,1,1,1,1,A14,A151,A174,A192,A201,A141,A101,A32,A49,A61,A71,A123
25,2581,1,1,1,1,1,0,A13,A152,A174,A192,A201,A141,A101,A32,A40,A62,A73,A123
28,5592,2,2,1,1,2,1,A11,A152,A173,A191,A201,A143,A101,A32,A41,A61,A73,A122
21,1275,2,2,1,2,1,1,A14,A152,A172,A191,A201,A143,A101,A34,A42,A61,A74,A122
17,1296,4,3,0,2,1,0,A11,A151,A173,A191,A201,A143,A101,A34,A42,A61,A73,A122
36,3500,2,1,1,2,1,1,A13,A152,A173,A191,A201,A143,A101,A30,A49,A61,A72,A122
15,1275,2,4,1,1,1,0,A14,A152,A173,A191,A201,A143,A101,A32,A43,A62,A71,A121
21,3751,4,2,1,1,1,1,A11,A153,A174,A192,A201,A143,A101,A32,A41,A61,A71,A124
21,1159,4,2,1,2,1,1,A12,A152,A172,A191,A201,A143,A101,A34,A43,A61,A75,A122
11,2307,2,1,1,2,2,1,A14,A152,A172,A191,A201,A143,A101,A34,A46,A65,A72,A122
13,1122,4,4,1,1,2,1,A14,A152,A172,A191,A201,A141,A101,A31,A43,A62,A75,A123
15,1238,2,4,0,2,1,1,A11,A151,A172,A191,A201,A143,A101,A32,A43,A65,A74,A123
28,2639,4,3,1,1,1,1,A11,A152,A174,A192,A201,A143,A101,A32,A42,A61,A71,A122
11,1557,4,3,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A32,A40,A65,A75,A123
14,1557,3,4,1,1,1,0,A14,A152,A172,A191,A201,A143,A101,A32,A42,A61,A74,A121
25,2581,4,4,1,1,1,1,A11,A152,A174,A192,A201,A143,A101,A32,A41,A61,A73,A122
11,623,4,4,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A43,A61,A75,A123
43,1200,4,4,0,1,1,1,A11,A153,A173,A192,A201,A143,A101,A32,A43,A61,A73,A124
43,3137,3,4,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A34,A41,A62,A71,A123
5,1028,4,4,1,2,1,1,A11,A152,A173,A192,A201,A143,A101,A34,A43,A65,A75,A121
48,5951,2,2,0,1,1,0,A12,A152,A173,A191,A201,A143,A101,A32,A43,A61,A73,A121
11,1755,2,3,1,1,2,1,A14,A152,A172,A191,A201,A143,A101,A34,A46,A61,A74,A121
42,7485,2,4,1,1,2,1,A11,A153,A173,A191,A201,A143,A103,A32,A42,A61,A74,A122
22,3972,3,4,1,2,2,1,A11,A153,A173,A191,A201,A143,A101,A33,A40,A61,A73,A124
33,8133,2,4,1,1,2,1,A14,A153,A172,A192,A201,A143,A101,A32,A46,A65,A73,A124
22,2406,3,4,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A42,A63,A75,A122
33,6143,2,2,1,1,1,1,A12,A151,A174,A192,A201,A143,A101,A32,A41,A61,A73,A123
11,2748,2,4,1,1,1,1,A14,A152,A172,A191,A201,A143,A101,A32,A43,A64,A74,A121
30,4308,4,2,1,2,1,1,A12,A152,A174,A191,A201,A143,A101,A34,A40,A61,A71,A123
12,1295,3,1,0,1,1,0,A12,A151,A173,A191,A201,A143,A101,A32,A40,A61,A72,A123
48,4308,3,4,0,1,1,0,A11,A151,A173,A191,A201,A143,A101,A32,A49,A61,A72,A122
12,1567,1,1,0,1,1,0,A12,A152,A173,A192,A201,A143,A101,A32,A43,A61,A73,A123
22,1042,4,4,1,2,1,1,A11,A152,A172,A191,A201,A143,A101,A34,A40,A61,A75,A123
15,1403,2,4,1,1,1,0,A11,A151,A173,A191,A201,A143,A101,A32,A40,A61,A73,A123
24,1282,4,2,1,1,1,0,A11,A152,A172,A191,A201,A143,A101,A32,A43,A62,A73,A123
22,2039,4,4,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A43,A65,A75,A122
30,7721,2,3,0,3,1,1,A11,A152,A173,A191,A201,A141,A101,A30,A49,A65,A72,A123
24,12579,4,2,1,1,1,0,A12,A153,A174,A192,A201,A143,A101,A32,A41,A61,A75,A124
22,3181,3,2,1,1,2,1,A14,A152,A173,A192,A201,A143,A101,A32,A43,A63,A75,A123
8,1837,4,4,1,3,1,1,A14,A152,A173,A192,A201,A143,A101,A34,A40,A61,A73,A123
5,2171,2,3,1,1,2,1,A11,A151,A173,A191,A201,A143,A101,A32,A43,A63,A73,A121
10,1864,1,3,1,2,2,1,A11,A151,A172,A191,A202,A143,A101,A34,A40,A61,A72,A121
11,1459,3,4,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A34,A41,A62,A72,A122
10,1659,2,1,1,2,1,1,A14,A152,A173,A191,A202,A143,A101,A34,A42,A65,A73,A123
5,1283,1,2,1,1,1,1,A11,A152,A172,A192,A201,A141,A101,A32,A42,A61,A73,A121
5,362,4,4,1,1,1,1,A14,A152,A172,A191,A201,A143,A101,A30,A43,A61,A75,A123
12,409,3,3,1,2,1,0,A13,A151,A173,A191,A201,A143,A101,A31,A43,A64,A73,A121
7,2039,3,2,1,1,1,1,A12,A152,A173,A191,A201,A143,A103,A32,A43,A61,A73,A121
48,5954,3,4,1,2,1,1,A11,A152,A173,A192,A201,A143,A101,A33,A49,A61,A75,A124
18,1532,3,3,1,1,1,1,A12,A152,A173,A192,A201,A141,A101,A32,A49,A64,A72,A121
22,3599,2,2,1,1,1,1,A11,A152,A173,A191,A201,A142,A101,A32,A42,A61,A73,A123
18,4795,2,2,1,2,1,1,A12,A152,A173,A192,A201,A143,A101,A32,A40,A62,A73,A123
11,1190,4,4,1,1,1,1,A14,A151,A172,A191,A201,A143,A101,A34,A49,A65,A75,A124
12,1474,4,1,1,1,1,0,A13,A152,A174,A192,A201,A141,A101,A32,A42,A61,A72,A122
42,3812,4,2,0,2,1,1,A12,A152,A172,A191,A201,A143,A101,A34,A43,A61,A72,A122
47,5096,1,3,1,1,1,1,A14,A153,A173,A192,A201,A141,A101,A34,A46,A61,A73,A124
18,1755,4,2,1,1,1,1,A13,A152,A173,A191,A201,A142,A102,A32,A43,A61,A73,A121
10,1113,2,2,1,1,1,1,A13,A152,A173,A192,A201,A143,A101,A32,A44,A61,A73,A123
8,385,4,3,0,1,1,1,A12,A152,A173,A191,A201,A143,A101,A32,A43,A61,A73,A121
30,1967,4,2,1,1,1,1,A14,A152,A174,A191,A201,A141,A101,A32,A43,A63,A75,A123
11,996,3,1,1,1,1,1,A12,A152,A173,A192,A201,A143,A101,A32,A43,A63,A73,A123
18,5129,2,4,1,1,2,1,A12,A152,A172,A192,A201,A143,A101,A33,A45,A61,A73,A121
30,5096,1,4,0,2,1,1,A11,A151,A173,A191,A201,A143,A101,A34,A41,A62,A74,A123
48,6143,4,4,1,2,1,0,A11,A153,A172,A191,A201,A142,A101,A34,A41,A61,A75,A124
11,1393,4,4,1,2,1,0,A14,A152,A174,A191,A201,A143,A101,A34,A40,A61,A72,A123
33,1927,4,4,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A43,A63,A75,A123
4,1352,1,2,0,1,1,0,A11,A151,A171,A192,A201,A143,A101,A32,A41,A63,A71,A122
11,6419,1,4,1,2,1,1,A14,A152,A172,A191,A201,A143,A101,A34,A40,A61,A73,A122
12,2073,4,2,1,1,1,0,A14,A152,A173,A191,A201,A143,A102,A32,A43,A62,A73,A121
22,1967,4,2,1,1,1,1,A12,A152,A172,A191,A201,A141,A101,A33,A42,A65,A72,A122
24,4811,1,2,1,2,1,1,A12,A152,A174,A192,A201,A143,A101,A33,A41,A61,A75,A123
11,1185,3,2,0,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A43,A61,A73,A123
18,3017,2,1,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A32,A41,A65,A73,A122
33,1858,4,4,1,2,1,1,A12,A153,A173,A192,A201,A141,A101,A33,A40,A61,A75,A124
5,741,1,2,1,1,2,1,A14,A152,A172,A191,A201,A142,A103,A31,A40,A65,A73,A121
11,5943,2,1,1,1,1,1,A12,A152,A174,A192,A201,A143,A101,A32,A43,A65,A71,A124
36,9566,2,2,1,2,1,0,A14,A152,A173,A191,A201,A142,A101,A34,A43,A61,A73,A123
18,1961,3,2,0,1,1,0,A13,A152,A174,A191,A201,A143,A101,A32,A40,A61,A75,A123
36,6229,4,4,0,2,1,0,A11,A151,A172,A192,A201,A143,A102,A34,A42,A61,A72,A124
8,1283,2,1,1,1,1,1,A12,A152,A173,A192,A201,A141,A101,A32,A49,A61,A73,A121
15,1386,4,4,1,2,1,1,A12,A152,A173,A192,A201,A143,A103,A34,A43,A65,A75,A121
33,1568,4,4,1,1,1,1,A12,A153,A174,A192,A201,A143,A101,A30,A49,A61,A75,A124
47,12976,2,2,0,1,1,1,A12,A152,A173,A192,A201,A143,A101,A30,A49,A61,A73,A123
24,3181,4,4,1,1,1,0,A14,A152,A173,A192,A201,A143,A101,A32,A43,A61,A72,A122
24,4281,4,4,1,4,2,1,A14,A152,A173,A192,A201,A143,A101,A32,A45,A65,A75,A122
12,2171,2,2,1,1,1,0,A14,A152,A173,A191,A201,A141,A101,A32,A43,A61,A72,A123
11,926,4,1,0,1,1,1,A12,A152,A173,A191,A201,A143,A101,A32,A40,A64,A73,A121
33,1474,4,4,1,1,1,1,A14,A153,A173,A192,A201,A142,A101,A32,A46,A61,A73,A124
36,2394,4,4,0,1,1,0,A14,A152,A173,A191,A201,A143,A101,A32,A43,A65,A73,A123
36,8133,1,2,1,1,1,0,A14,A152,A173,A191,A201,A141,A101,A32,A41,A61,A73,A122
7,672,4,2,1,2,1,1,A14,A151,A172,A192,A201,A143,A101,A34,A43,A65,A75,A122
8,996,3,4,1,2,2,1,A11,A153,A174,A192,A201,A141,A101,A34,A410,A61,A75,A124
42,5954,2,1,1,2,1,0,A12,A152,A172,A191,A201,A141,A101,A34,A49,A61,A74,A121
33,1572,4,4,1,1,1,1,A11,A152,A174,A192,A201,A143,A101,A32,A46,A65,A75,A124
11,1382,4,4,1,2,1,1,A11,A153,A174,A191,A201,A143,A101,A34,A41,A61,A75,A124
42,3573,4,3,1,1,1,1,A11,A152,A173,A191,A201,A143,A101,A32,A43,A61,A72,A123
11,3835,2,4,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A33,A43,A61,A74,A122
48,8471,2,2,1,1,2,1,A14,A152,A172,A191,A201,A143,A101,A30,A41,A65,A73,A122
30,3441,2,1,0,1,1,1,A12,A152,A173,A191,A201,A143,A101,A32,A42,A61,A72,A122
24,5943,1,1,1,2,1,0,A14,A152,A173,A192,A201,A143,A101,A32,A43,A65,A72,A123
15,1055,4,3,1,1,1,1,A14,A152,A173,A192,A201,A142,A101,A32,A43,A63,A75,A122
18,1568,3,4,0,1,1,0,A14,A151,A172,A191,A201,A143,A101,A32,A49,A62,A73,A122
24,1755,4,4,1,1,1,0,A11,A152,A172,A192,A201,A143,A103,A32,A410,A61,A75,A121
10,1961,3,4,1,1,1,1,A11,A152,A172,A191,A201,A143,A101,A32,A43,A61,A75,A121
12,1412,4,2,1,2,1,0,A14,A152,A174,A192,A201,A143,A103,A34,A49,A61,A73,A121
18,1295,4,1,1,2,1,0,A12,A152,A173,A191,A201,A143,A101,A34,A42,A61,A72,A122
33,12579,1,4,1,1,2,1,A12,A153,A173,A192,A201,A143,A101,A32,A46,A62,A73,A124
18,1881,4,3,1,1,2,1,A11,A152,A174,A192,A201,A143,A101,A32,A40,A62,A74,A123
11,960,4,3,1,2,1,1,A11,A152,A173,A191,A201,A143,A101,A30,A45,A61,A74,A121
11,392,4,4,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A43,A61,A75,A121
11,1287,4,3,1,1,1,1,A11,A152,A173,A191,A201,A143,A101,A34,A41,A61,A75,A121
12,797,4,3,1,1,2,0,A14,A152,A172,A191,A201,A141,A101,A34,A43,A65,A75,A122
22,3244,4,4,0,2,1,1,A13,A151,A173,A191,A201,A143,A102,A34,A42,A65,A75,A124
11,1237,4,4,1,1,1,1,A12,A152,A173,A192,A201,A143,A101,A32,A40,A64,A75,A121
48,14782,3,4,1,1,1,1,A12,A151,A173,A192,A201,A143,A101,A30,A49,A61,A72,A124
12,2012,4,2,1,1,1,0,A14,A152,A173,A191,A201,A143,A101,A34,A46,A65,A74,A123
18,2150,4,4,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A32,A49,A62,A73,A123
33,1980,4,4,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A34,A43,A61,A75,A121
20,6419,3,4,1,2,2,1,A12,A151,A174,A192,A201,A141,A101,A33,A41,A65,A74,A122
22,1364,4,4,1,1,1,1,A14,A151,A172,A191,A201,A143,A101,A32,A40,A62,A75,A121
33,1965,4,4,0,1,1,1,A12,A151,A173,A191,A201,A143,A101,A32,A43,A61,A74,A123
4,932,3,2,0,1,1,0,A14,A152,A173,A191,A201,A143,A101,A33,A43,A61,A73,A121
8,1533,4,3,1,1,1,1,A12,A151,A173,A192,A201,A143,A101,A34,A42,A61,A74,A123
11,2064,2,4,1,1,1,1,A14,A151,A173,A192,A201,A143,A101,A32,A41,A65,A72,A123
22,10144,2,3,1,2,2,1,A12,A152,A174,A192,A201,A143,A102,A34,A410,A61,A73,A123
18,5943,2,4,1,2,2,1,A14,A152,A174,A192,A201,A141,A101,A31,A40,A61,A75,A124
11,5003,2,2,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A32,A40,A61,A74,A123
24,7721,1,2,1,1,1,0,A11,A152,A173,A192,A202,A143,A101,A32,A42,A65,A72,A122
13,1291,1,2,1,1,1,1,A12,A152,A173,A192,A201,A143,A101,A32,A49,A63,A75,A121
5,1355,1,2,1,2,2,1,A12,A152,A173,A191,A201,A141,A101,A33,A49,A62,A75,A123
15,392,4,4,0,1,1,0,A13,A151,A173,A192,A201,A143,A101,A32,A46,A61,A72,A122
18,5129,3,3,1,1,1,1,A12,A151,A172,A191,A201,A143,A101,A32,A40,A61,A74,A121
36,7855,4,2,0,2,1,0,A14,A152,A173,A192,A201,A142,A101,A34,A40,A61,A73,A121
11,1442,3,1,1,1,1,1,A11,A152,A173,A191,A201,A143,A101,A32,A43,A63,A75,A121
47,3244,4,1,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A34,A43,A65,A75,A121
42,7174,4,3,1,1,1,0,A11,A152,A174,A192,A201,A143,A101,A32,A43,A65,A74,A123
10,2132,2,3,1,2,1,0,A11,A151,A173,A191,A202,A143,A102,A34,A42,A65,A72,A121
33,4281,1,4,0,2,1,0,A11,A152,A173,A191,A201,A143,A101,A34,A42,A63,A73,A123
11,2022,3,3,1,1,1,1,A12,A152,A174,A192,A201,A143,A101,A34,A40,A63,A74,A123
20,1835,3,2,0,2,1,0,A11,A152,A173,A192,A201,A143,A101,A32,A43,A61,A73,A121
24,3868,4,2,1,2,1,0,A14,A151,A174,A192,A201,A143,A101,A34,A41,A61,A75,A123
11,1453,3,2,0,1,1,1,A14,A151,A172,A191,A201,A143,A101,A32,A42,A61,A73,A121
10,683,4,4,1,2,1,1,A13,A153,A173,A192,A201,A143,A101,A34,A40,A61,A75,A124
18,1924,4,3,1,1,1,0,A12,A151,A173,A191,A201,A143,A101,A32,A42,A65,A72,A121
11,1835,4,2,1,2,1,1,A11,A152,A173,A191,A201,A143,A101,A34,A40,A61,A73,A122
11,609,4,2,1,1,1,1,A11,A152,A172,A191,A201,A143,A101,A32,A43,A61,A73,A121
11,409,4,2,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A32,A45,A61,A73,A123
11,1493,4,2,1,2,1,1,A12,A152,A174,A192,A201,A143,A101,A34,A41,A61,A71,A123
12,3499,3,2,1,2,1,0,A11,A152,A173,A191,A201,A143,A102,A34,A40,A61,A73,A121
48,8487,1,2,0,1,1,0,A12,A152,A173,A191,A201,A143,A101,A32,A40,A65,A74,A123
33,6143,4,3,1,1,1,1,A11,A152,A173,A192,A201,A142,A101,A33,A46,A61,A73,A122
15,2251,2,3,1,2,1,1,A14,A152,A172,A191,A201,A141,A101,A32,A42,A61,A72,A122
18,1577,4,4,1,2,1,1,A14,A153,A173,A191,A201,A141,A101,A32,A42,A61,A73,A124
60,10144,2,4,0,1,1,0,A14,A152,A173,A192,A201,A143,A101,A32,A43,A62,A74,A121
12,1240,4,2,1,2,1,0,A14,A152,A173,A192,A201,A143,A101,A34,A43,A65,A75,A121
24,7758,2,2,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A33,A41,A64,A73,A123
11,683,4,3,1,1,1,1,A12,A152,A172,A191,A201,A143,A101,A32,A43,A63,A73,A121
15,2251,4,2,1,3,1,1,A12,A152,A173,A192,A201,A141,A103,A34,A43,A65,A74,A121
12,1881,2,2,1,1,1,0,A13,A151,A172,A192,A201,A143,A101,A32,A43,A61,A73,A123
5,626,2,2,1,1,1,1,A13,A152,A171,A191,A202,A143,A101,A32,A40,A64,A72,A121
36,4795,4,1,1,1,1,0,A12,A152,A174,A192,A201,A143,A101,A32,A43,A61,A72,A124
24,3181,3,2,1,1,1,1,A11,A152,A174,A191,A201,A143,A101,A32,A43,A61,A73,A123
18,2064,2,2,0,1,1,1,A11,A152,A173,A191,A201,A143,A101,A32,A42,A61,A73,A123
20,2288,4,4,0,1,1,0,A14,A152,A173,A192,A201,A143,A101,A34,A42,A61,A72,A122
47,3234,4,2,1,1,1,1,A12,A152,A173,A191,A201,A143,A101,A31,A49,A62,A74,A123
4,860,1,4,1,2,1,0,A11,A152,A173,A192,A201,A143,A101,A34,A40,A61,A75,A124
12,682,4,3,1,2,1,0,A14,A152,A173,A192,A201,A143,A101,A34,A40,A62,A74,A123
33,4351,3,2,1,2,1,1,A11,A152,A173,A191,A201,A143,A103,A34,A42,A61,A73,A122
18,1403,4,4,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A43,A64,A75,A123
5,1244,2,4,1,1,2,1,A14,A153,A173,A192,A201,A141,A101,A32,A43,A62,A75,A124
10,1538,1,4,1,1,1,1,A14,A152,A173,A192,A202,A143,A101,A32,A43,A61,A73,A122
33,4795,4,1,0,1,1,1,A13,A152,A173,A191,A201,A143,A101,A32,A43,A61,A73,A123
24,7758,2,4,1,1,1,0,A12,A151,A173,A191,A201,A143,A101,A34,A41,A64,A75,A124
22,6229,4,4,1,1,1,1,A12,A151,A174,A192,A201,A143,A101,A33,A49,A62,A74,A123
12,1282,2,4,0,1,1,0,A11,A151,A173,A191,A201,A143,A101,A32,A42,A61,A73,A123
8,1199,3,4,1,2,2,1,A11,A152,A173,A191,A202,A143,A103,A34,A45,A62,A75,A121
11,362,4,1,1,1,1,1,A11,A152,A172,A191,A201,A141,A101,A31,A48,A61,A75,A123
22,3190,2,3,1,2,1,1,A12,A152,A173,A192,A201,A141,A101,A32,A40,A62,A74,A123
5,1525,1,2,1,2,2,1,A14,A152,A172,A191,A201,A143,A101,A34,A43,A65,A73,A121
22,2578,3,4,1,1,2,1,A14,A152,A173,A192,A201,A143,A101,A34,A43,A62,A75,A121
18,1055,4,1,1,2,1,0,A14,A152,A173,A191,A201,A143,A101,A34,A40,A61,A72,A122
15,1185,4,3,1,2,1,1,A14,A152,A173,A192,A201,A143,A101,A32,A44,A63,A74,A122
10,7127,2,4,1,1,1,1,A12,A153,A174,A192,A201,A141,A101,A32,A40,A61,A71,A124
33,806,4,4,1,1,1,1,A14,A152,A173,A191,A201,A143,A101,A32,A40,A63,A75,A122
5,2679,1,2,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A32,A42,A63,A73,A123
18,1131,4,2,1,1,1,0,A11,A152,A173,A191,A201,A143,A101,A32,A42,A61,A71,A123
11,1577,4,1,0,1,1,0,A12,A152,A173,A191,A201,A143,A101,A32,A42,A64,A72,A121
24,3972,2,4,0,1,1,0,A14,A151,A173,A192,A201,A143,A101,A32,A42,A61,A74,A122
22,1553,4,4,1,2,1,1,A12,A152,A173,A192,A201,A143,A101,A34,A49,A61,A75,A121
15,915,4,3,1,2,2,1,A11,A151,A173,A191,A201,A143,A101,A30,A40,A61,A75,A123
12,763,4,1,1,1,1,0,A14,A152,A173,A192,A201,A143,A101,A32,A42,A61,A73,A121
24,2064,3,2,1,1,1,0,A12,A152,A174,A192,A201,A143,A101,A33,A42,A61,A71,A122
8,1291,4,2,1,1,1,1,A12,A152,A173,A191,A202,A143,A103,A32,A43,A61,A73,A121
20,3123,2,1,1,2,1,1,A11,A152,A173,A191,A201,A143,A101,A33,A46,A61,A72,A122
30,7485,4,1,1,1,1,0,A14,A152,A174,A192,A201,A141,A101,A31,A41,A65,A71,A121
11,2132,2,1,1,1,1,1,A11,A152,A173,A191,A201,A143,A101,A32,A42,A61,A73,A123
5,276,4,4,1,2,1,1,A11,A152,A173,A191,A201,A143,A101,A34,A43,A63,A75,A123
11,1568,4,2,1,2,2,1,A14,A151,A174,A192,A201,A143,A101,A32,A43,A61,A74,A123
20,385,4,4,1,2,1,1,A11,A152,A173,A191,A201,A143,A101,A34,A40,A61,A75,A121
33,8471,1,1,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A33,A49,A61,A72,A123
33,3650,2,2,1,2,1,1,A12,A152,A174,A192,A201,A142,A101,A33,A49,A61,A73,A121
20,1424,4,2,1,2,2,1,A11,A152,A172,A191,A201,A143,A101,A31,A40,A65,A73,A122
22,3357,4,4,1,1,1,1,A14,A152,A173,A192,A201,A143,A101,A34,A42,A64,A73,A121
18,763,4,4,1,1,2,1,A12,A152,A173,A192,A201,A141,A101,A34,A40,A61,A75,A123
15,1282,4,2,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A43,A61,A73,A122
8,5129,2,4,1,1,2,0,A12,A153,A174,A192,A201,A141,A101,A31,A41,A61,A75,A124
15,1042,2,3,1,3,1,1,A12,A153,A171,A192,A201,A143,A101,A34,A40,A61,A71,A123
11,448,4,1,0,1,1,1,A11,A152,A173,A191,A201,A143,A101,A32,A43,A62,A74,A122
18,3244,1,4,1,2,1,0,A12,A152,A173,A192,A201,A141,A101,A30,A42,A61,A73,A123
22,3749,2,3,1,3,1,1,A14,A152,A174,A192,A201,A143,A101,A32,A49,A64,A73,A122
47,3441,4,4,1,1,2,1,A12,A153,A172,A191,A201,A143,A101,A30,A49,A62,A74,A124
24,3499,4,2,1,1,2,1,A12,A152,A173,A192,A201,A143,A101,A32,A49,A61,A73,A123
5,1808,2,2,1,1,1,1,A14,A151,A173,A191,A201,A143,A101,A32,A43,A61,A74,A121
42,2748,4,4,0,1,1,1,A12,A151,A173,A191,A201,A143,A103,A32,A43,A62,A73,A122
8,1501,2,3,1,2,1,0,A12,A152,A174,A192,A201,A143,A101,A34,A46,A61,A75,A123
4,1382,1,1,1,2,1,0,A14,A152,A173,A192,A201,A143,A101,A34,A43,A61,A73,A123
